Genome,SRA ID,PATRIC ID,Antibiotic,Actual MIC,Predicted MIC
KPN143,SRR5386439,573.13381,Imipenem,<=1,1.0
KPN143,SRR5386439,573.13381,Tobramycin,>8,16.0
KPN144,SRR5386438,573.13391,Cefazolin,>16,32.0
KPN144,SRR5386438,573.13391,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN145,SRR5386437,573.13399,Imipenem,>8,8.0
KPN146,SRR5386436,573.13407,Piperacillin/Tazobactam,>64/4,64.0
KPN151,SRR5386433,573.13452,Ceftriaxone,>32,64.0
KPN151,SRR5386433,573.13452,Cefuroxime sodium,>16,32.0
KPN151,SRR5386433,573.13452,Levofloxacin,>4,8.0
KPN151,SRR5386433,573.13452,Nitrofurantoin,>64,128.0
KPN154,SRR5386432,573.13479,Aztreonam,>16,32.0
KPN154,SRR5386432,573.13479,Meropenem,<=1,1.0
KPN155,SRR5386431,573.13488,Ampicillin/Sulbactam,>16/8,32.0
KPN155,SRR5386431,573.13488,Cefepime,>16,16.0
KPN155,SRR5386431,573.13488,Ciprofloxacin,>2,4.0
KPN155,SRR5386431,573.13488,Gentamicin,<=2,2.0
KPN157,SRR5386430,573.13505,Ampicillin,>16,32.0
KPN157,SRR5386430,573.13505,Ceftazidime,>16,32.0
KPN159,SRR5386429,573.13523,Tetracycline,4,4.0
KPN161,SRR5386427,573.13538,Cefazolin,>16,32.0
KPN161,SRR5386427,573.13538,Cefoxitin,16,16.0
KPN163,SRR5386425,573.13550,Cefoxitin,>16,32.0
KPN163,SRR5386425,573.13550,Tetracycline,>8,4.0
KPN164,SRR5386424,573.13558,Imipenem,<=1,1.0
KPN166,SRR5386423,573.13576,Amikacin,<=8,8.0
KPN166,SRR5386423,573.13576,Cefepime,8,2.0
KPN166,SRR5386423,573.13576,Cefuroxime sodium,>16,16.0
KPN166,SRR5386423,573.13576,Levofloxacin,<=1,1.0
KPN167,SRR5386422,573.13584,Ceftriaxone,>32,64.0
KPN167,SRR5386422,573.13584,Levofloxacin,>4,8.0
KPN167,SRR5386422,573.13584,Piperacillin/Tazobactam,>64/4,128.0
KPN167,SRR5386422,573.13584,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN169,SRR5386421,573.13603,Ampicillin/Sulbactam,>16/8,32.0
KPN169,SRR5386421,573.13603,Aztreonam,>16,32.0
KPN169,SRR5386421,573.13603,Meropenem,>8,8.0
KPN169,SRR5386421,573.13603,Tobramycin,<=2,8.0
KPN172,SRR5386420,573.13632,Ampicillin,>16,32.0
KPN172,SRR5386420,573.13632,Ciprofloxacin,>2,4.0
KPN176,SRR5386418,573.13664,Aztreonam,<=2,4.0
KPN177,SRR5386417,573.13673,Meropenem,<=1,1.0
KPN177,SRR5386417,573.13673,Tobramycin,>8,16.0
KPN178,SRR5386416,573.13682,Cefazolin,>16,32.0
KPN178,SRR5386416,573.13682,Cefoxitin,8,16.0
KPN178,SRR5386416,573.13682,Ceftazidime,>16,32.0
KPN178,SRR5386416,573.13682,Piperacillin/Tazobactam,16/4,64.0
KPN181,SRR5386413,573.13688,Gentamicin,>8,16.0
KPN182,SRR5386412,573.13694,Cefuroxime sodium,>16,32.0
KPN182,SRR5386412,573.13694,Imipenem,<=1,1.0
KPN183,SRR5386411,573.13702,Cefepime,>16,16.0
KPN183,SRR5386411,573.13702,Gentamicin,<=2,4.0
KPN184,SRR5386410,573.13712,Ampicillin/Sulbactam,>16/8,32.0
KPN184,SRR5386410,573.13712,Levofloxacin,>4,8.0
KPN185,SRR5386409,573.13722,Ampicillin,>16,32.0
KPN185,SRR5386409,573.13722,Ceftriaxone,>32,64.0
KPN185,SRR5386409,573.13722,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN186,SRR5386408,573.13733,Amikacin,<=8,8.0
KPN186,SRR5386408,573.13733,Ciprofloxacin,>2,2.0
KPN186,SRR5386408,573.13733,Nitrofurantoin,>64,64.0
KPN187,SRR5386407,573.13743,Aztreonam,>16,32.0
KPN188,SRR5386406,573.13751,Cefazolin,>16,32.0
KPN188,SRR5386406,573.13751,Ceftazidime,>16,32.0
KPN188,SRR5386406,573.13751,Piperacillin/Tazobactam,>64/4,128.0
KPN188,SRR5386406,573.13751,Tetracycline,<=2,4.0
KPN189,SRR5386405,573.13759,Meropenem,<=1,1.0
KPN189,SRR5386405,573.13759,Trimethoprim/Sulfamethoxazole,<=0.5/9,1.0
KPN190,SRR5386404,573.13766,Tobramycin,8,4.0
KPN194,SRR5386401,573.13797,Cefoxitin,>16,32.0
KPN194,SRR5386401,573.13797,Cefuroxime sodium,>16,32.0
KPN196,SRR5386399,573.13808,Tetracycline,4,4.0
KPN197,SRR5386398,573.13813,Levofloxacin,>4,8.0
KPN198,SRR5386397,573.13823,Ampicillin/Sulbactam,>16/8,32.0
KPN198,SRR5386397,573.13823,Ampicillin,>16,32.0
KPN198,SRR5386397,573.13823,Ceftriaxone,>32,64.0
KPN200,SRR5386395,573.13840,Ciprofloxacin,>2,4.0
KPN201,SRR5386394,573.13849,Cefepime,16,16.0
KPN201,SRR5386394,573.13849,Tobramycin,>8,16.0
KPN202,SRR5386393,573.13857,Aztreonam,>16,16.0
KPN202,SRR5386393,573.13857,Cefazolin,>16,32.0
KPN202,SRR5386393,573.13857,Cefepime,>16,8.0
KPN202,SRR5386393,573.13857,Ceftazidime,>16,16.0
KPN202,SRR5386393,573.13857,Tobramycin,<=2,2.0
KPN202,SRR5386393,573.13857,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN204,SRR5386392,573.13875,Gentamicin,<=2,2.0
KPN204,SRR5386392,573.13875,Imipenem,<=1,1.0
KPN204,SRR5386392,573.13875,Piperacillin/Tazobactam,4/4,32.0
KPN205,SRR5386391,573.13884,Tetracycline,>8,16.0
KPN206,SRR5386390,573.13893,Amikacin,32,16.0
KPN207,SRR5386389,573.13902,Ceftazidime,16,32.0
KPN207,SRR5386389,573.13902,Cefuroxime sodium,>16,32.0
KPN208,SRR5386388,573.13912,Cefoxitin,8,16.0
KPN208,SRR5386388,573.13912,Meropenem,<=1,1.0
KPN208,SRR5386388,573.13912,Nitrofurantoin,>64,128.0
KPN209,SRR5386387,573.13920,Levofloxacin,>4,8.0
KPN209,SRR5386387,573.13920,Piperacillin/Tazobactam,>64/4,128.0
KPN210,SRR5386386,573.13928,Amikacin,<=8,8.0
KPN210,SRR5386386,573.13928,Ampicillin,>16,32.0
KPN213,SRR5386383,573.13942,Ampicillin/Sulbactam,>16/8,32.0
KPN213,SRR5386383,573.13942,Ceftriaxone,>32,64.0
KPN216,SRR5386381,573.13959,Ciprofloxacin,>2,4.0
KPN217,SRR5386380,573.13964,Aztreonam,>16,32.0
KPN217,SRR5386380,573.13964,Cefazolin,>16,32.0
KPN219,SRR5386378,573.13966,Cefoxitin,<=4,8.0
KPN219,SRR5386378,573.13966,Ceftazidime,>16,32.0
KPN220,SRR5386377,573.13967,Trimethoprim/Sulfamethoxazole,>2/38,2.0
KPN221,SRR5386376,573.13968,Aztreonam,16,16.0
KPN221,SRR5386376,573.13968,Imipenem,<=1,1.0
KPN221,SRR5386376,573.13968,Piperacillin/Tazobactam,8/4,32.0
KPN222,SRR5386375,573.13969,Cefuroxime sodium,>16,32.0
KPN224,SRR5386373,573.13971,Ampicillin,>16,32.0
KPN224,SRR5386373,573.13971,Gentamicin,<=2,2.0
KPN226,SRR5386372,573.13972,Ampicillin/Sulbactam,>16/8,32.0
KPN226,SRR5386372,573.13972,Levofloxacin,>4,8.0
KPN227,SRR5386371,573.13973,Amikacin,<=8,8.0
KPN227,SRR5386371,573.13973,Ceftriaxone,>32,64.0
KPN227,SRR5386371,573.13973,Gentamicin,>8,16.0
KPN228,SRR5386370,573.13974,Ciprofloxacin,>2,4.0
KPN228,SRR5386370,573.13974,Meropenem,<=1,1.0
KPN230,SRR5386369,573.13975,Cefazolin,>16,32.0
KPN230,SRR5386369,573.13975,Cefoxitin,>16,32.0
KPN230,SRR5386369,573.13975,Meropenem,8,8.0
KPN230,SRR5386369,573.13975,Tetracycline,4,4.0
KPN231,SRR5386368,573.13976,Aztreonam,>16,16.0
KPN232,SRR5386367,573.13977,Gentamicin,4,4.0
KPN232,SRR5386367,573.13977,Tobramycin,>8,16.0
KPN233,SRR5386366,573.13978,Ceftazidime,>16,32.0
KPN234,SRR5386365,573.13979,Cefuroxime sodium,>16,32.0
KPN235,SRR5386364,573.13980,Cefepime,<=1,4.0
KPN235,SRR5386364,573.13980,Cefuroxime sodium,<=4,8.0
KPN235,SRR5386364,573.13980,Piperacillin/Tazobactam,>64/4,16.0
KPN236,SRR5386363,573.13981,Ampicillin,>16,32.0
KPN236,SRR5386363,573.13981,Cefepime,>16,16.0
KPN236,SRR5386363,573.13981,Trimethoprim/Sulfamethoxazole,<=0.5/9,2.0
KPN237,SRR5386362,573.13982,Tetracycline,>8,16.0
KPN237,SRR5386362,573.13982,Tobramycin,<=2,4.0
KPN238,SRR5386361,573.13983,Ampicillin/Sulbactam,>16/8,32.0
KPN238,SRR5386361,573.13983,Cefepime,4,8.0
KPN238,SRR5386361,573.13983,Imipenem,<=1,1.0
KPN238,SRR5386361,573.13983,Levofloxacin,>4,8.0
KPN238,SRR5386361,573.13983,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN240,SRR5386359,573.13984,Ceftriaxone,>32,64.0
KPN240,SRR5386359,573.13984,Nitrofurantoin,>64,128.0
KPN244,SRR5386358,573.13985,Ciprofloxacin,>2,4.0
KPN245,SRR5386357,573.13986,Cefazolin,>16,32.0
KPN247,SRR5386355,573.13988,Meropenem,<=1,1.0
KPN248,SRR5386354,573.13989,Aztreonam,>16,32.0
KPN248,SRR5386354,573.13989,Meropenem,>8,8.0
KPN249,SRR5386353,573.13990,Amikacin,<=8,8.0
KPN249,SRR5386353,573.13990,Ceftazidime,>16,32.0
KPN249,SRR5386353,573.13990,Cefuroxime sodium,>16,32.0
KPN249,SRR5386353,573.13990,Imipenem,>8,16.0
KPN250,SRR5386352,573.13991,Amikacin,32,32.0
KPN250,SRR5386352,573.13991,Ampicillin,>16,32.0
KPN250,SRR5386352,573.13991,Imipenem,8,8.0
KPN251,SRR5386351,573.13992,Tobramycin,8,16.0
KPN252,SRR5386350,573.13993,Ampicillin/Sulbactam,>16/8,32.0
KPN252,SRR5386350,573.13993,Cefoxitin,>16,16.0
KPN252,SRR5386350,573.13993,Piperacillin/Tazobactam,>64/4,32.0
KPN254,SRR5386349,573.13994,Ceftriaxone,>32,64.0
KPN254,SRR5386349,573.13994,Levofloxacin,>4,8.0
KPN254,SRR5386349,573.13994,Piperacillin/Tazobactam,32/4,64.0
KPN254,SRR5386349,573.13994,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN256,SRR5386347,573.13995,Nitrofurantoin,32,64.0
KPN256,SRR5386347,573.13995,Tetracycline,<=2,4.0
KPN257,SRR5386346,573.13996,Cefazolin,>16,32.0
KPN257,SRR5386346,573.13996,Cefepime,>16,16.0
KPN257,SRR5386346,573.13996,Gentamicin,>8,16.0
KPN257,SRR5386346,573.13996,Tobramycin,>8,16.0
KPN258,SRR5386345,573.13997,Ciprofloxacin,>2,4.0
KPN258,SRR5386345,573.13997,Gentamicin,<=2,4.0
KPN259,SRR5386344,573.13998,Imipenem,<=1,1.0
KPN260,SRR5386343,573.13999,Aztreonam,>16,32.0
KPN261,SRR5386342,573.14000,Cefuroxime sodium,>16,32.0
KPN262,SRR5386341,573.14001,Ampicillin,>16,32.0
KPN263,SRR5386340,573.14002,Tetracycline,>8,8.0
KPN264,SRR5386339,573.14003,Ceftazidime,>16,16.0
KPN264,SRR5386339,573.14003,Nitrofurantoin,>64,128.0
KPN265,SRR5386338,573.14004,Tetracycline,8,8.0
KPN267,SRR5386337,573.14005,Ampicillin/Sulbactam,>16/8,32.0
KPN267,SRR5386337,573.14005,Ceftriaxone,>32,64.0
KPN267,SRR5386337,573.14005,Levofloxacin,>4,8.0
KPN267,SRR5386337,573.14005,Tetracycline,4,8.0
KPN268,SRR5386336,573.14006,Cefazolin,>16,32.0
KPN268,SRR5386336,573.14006,Meropenem,<=1,1.0
KPN268,SRR5386336,573.14006,Piperacillin/Tazobactam,>64/4,64.0
KPN269,SRR5386335,573.14007,Ciprofloxacin,>2,4.0
KPN270,SRR5386334,573.14008,Amikacin,<=8,8.0
KPN270,SRR5386334,573.14008,Cefoxitin,8,16.0
KPN272,SRR5386332,573.14010,Aztreonam,>16,32.0
KPN272,SRR5386332,573.14010,Cefepime,>16,8.0
KPN272,SRR5386332,573.14010,Cefuroxime sodium,>16,32.0
KPN272,SRR5386332,573.14010,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN273,SRR5386331,573.14011,Ampicillin,>16,32.0
KPN274,SRR5386330,573.14012,Cefoxitin,16,16.0
KPN274,SRR5386330,573.14012,Imipenem,<=1,1.0
KPN275,SRR5386329,573.14013,Cefoxitin,>16,8.0
KPN275,SRR5386329,573.14013,Ceftriaxone,<=2,8.0
KPN275,SRR5386329,573.14013,Ciprofloxacin,<=0.5,1.0
KPN275,SRR5386329,573.14013,Tobramycin,<=2,2.0
KPN276,SRR5386328,573.14014,Ceftazidime,>16,32.0
KPN277,SRR5386327,573.14015,Gentamicin,<=2,2.0
KPN277,SRR5386327,573.14015,Piperacillin/Tazobactam,16/4,32.0
KPN278,SRR5386326,573.14016,Ampicillin/Sulbactam,>16/8,32.0
KPN278,SRR5386326,573.14016,Ceftriaxone,>32,64.0
KPN278,SRR5386326,573.14016,Levofloxacin,>4,8.0
KPN279,SRR5386325,573.14017,Cefazolin,>16,32.0
KPN280,SRR5386324,573.14018,Ciprofloxacin,>2,4.0
KPN280,SRR5386324,573.14018,Meropenem,<=1,1.0
KPN281,SRR5386323,573.14019,Amikacin,<=8,8.0
KPN281,SRR5386323,573.14019,Gentamicin,>8,16.0
KPN282,SRR5386322,573.14020,Cefepime,<=1,8.0
KPN282,SRR5386322,573.14020,Cefuroxime sodium,>16,32.0
KPN282,SRR5386322,573.14020,Piperacillin/Tazobactam,>64/4,128.0
KPN285,SRR5386319,573.14022,Ampicillin,>16,32.0
KPN285,SRR5386319,573.14022,Cefepime,16,16.0
KPN287,SRR5386317,573.14024,Cefoxitin,<=4,16.0
KPN287,SRR5386317,573.14024,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN289,SRR5386315,573.14026,Imipenem,<=1,1.0
KPN289,SRR5386315,573.14026,Nitrofurantoin,64,64.0
KPN289,SRR5386315,573.14026,Tetracycline,>8,16.0
KPN289,SRR5386315,573.14026,Tobramycin,>8,16.0
KPN290,SRR5386314,573.14027,Aztreonam,>16,16.0
KPN291,SRR5386313,573.14028,Ampicillin/Sulbactam,>16/8,32.0
KPN291,SRR5386313,573.14028,Ceftazidime,>16,32.0
KPN291,SRR5386313,573.14028,Ceftriaxone,>32,64.0
KPN292,SRR5386312,573.14029,Cefazolin,>16,32.0
KPN293,SRR5386311,573.14030,Levofloxacin,>4,8.0
KPN294,SRR5386310,573.14031,Ciprofloxacin,>2,4.0
KPN295,SRR5386309,573.14032,Cefuroxime sodium,>16,32.0
KPN297,SRR5386307,573.14033,Ampicillin,>16,32.0
KPN297,SRR5386307,573.14033,Cefoxitin,>16,32.0
KPN299,SRR5386306,573.14034,Meropenem,<=1,1.0
KPN300,SRR5386305,573.14035,Piperacillin/Tazobactam,>64/4,64.0
KPN300,SRR5386305,573.14035,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN301,SRR5386304,573.14036,Amikacin,>32,32.0
KPN301,SRR5386304,573.14036,Nitrofurantoin,>64,128.0
KPN302,SRR5386303,573.14037,Amikacin,<=8,8.0
KPN302,SRR5386303,573.14037,Cefepime,>16,16.0
KPN302,SRR5386303,573.14037,Imipenem,<=1,1.0
KPN302,SRR5386303,573.14037,Tobramycin,<=2,4.0
KPN303,SRR5386302,573.14038,Ampicillin/Sulbactam,>16/8,32.0
KPN303,SRR5386302,573.14038,Aztreonam,>16,32.0
KPN303,SRR5386302,573.14038,Ceftazidime,>16,32.0
KPN303,SRR5386302,573.14038,Ceftriaxone,>32,64.0
KPN304,SRR5386301,573.14039,Cefazolin,>16,32.0
KPN305,SRR5386300,573.14040,Levofloxacin,>4,8.0
KPN305,SRR5386300,573.14040,Meropenem,>8,8.0
KPN305,SRR5386300,573.14040,Tetracycline,>8,4.0
KPN306,SRR5386299,573.14041,Ciprofloxacin,>2,4.0
KPN307,SRR5386298,573.14042,Cefuroxime sodium,>16,32.0
KPN308,SRR5386297,573.14043,Ampicillin,>16,32.0
KPN308,SRR5386297,573.14043,Gentamicin,<=2,4.0
KPN308,SRR5386297,573.14043,Levofloxacin,<=1,2.0
KPN308,SRR5386297,573.14043,Piperacillin/Tazobactam,64/4,32.0
KPN310,SRR5386295,573.14045,Meropenem,<=1,1.0
KPN310,SRR5386295,573.14045,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN314,SRR5386291,573.14048,Amikacin,<=8,8.0
KPN314,SRR5386291,573.14048,Ampicillin/Sulbactam,>16/8,32.0
KPN314,SRR5386291,573.14048,Cefoxitin,>16,16.0
KPN314,SRR5386291,573.14048,Ceftriaxone,>32,64.0
KPN314,SRR5386291,573.14048,Gentamicin,>8,16.0
KPN314,SRR5386291,573.14048,Imipenem,<=1,1.0
KPN314,SRR5386291,573.14048,Meropenem,2,1.0
KPN314,SRR5386291,573.14048,Tobramycin,<=2,4.0
KPN315,SRR5386290,573.14049,Aztreonam,>16,32.0
KPN315,SRR5386290,573.14049,Cefazolin,>16,32.0
KPN315,SRR5386290,573.14049,Ceftazidime,>16,32.0
KPN315,SRR5386290,573.14049,Piperacillin/Tazobactam,>64/4,64.0
KPN316,SRR5386289,573.14050,Amikacin,32,32.0
KPN316,SRR5386289,573.14050,Gentamicin,4,4.0
KPN316,SRR5386289,573.14050,Tetracycline,4,4.0
KPN318,SRR5386287,573.14052,Cefuroxime sodium,>16,32.0
KPN318,SRR5386287,573.14052,Levofloxacin,>4,8.0
KPN319,SRR5386286,573.14053,Ampicillin,>16,32.0
KPN319,SRR5386286,573.14053,Ciprofloxacin,>2,4.0
KPN319,SRR5386286,573.14053,Tobramycin,>8,16.0
KPN321,SRR5386284,573.14055,Trimethoprim/Sulfamethoxazole,<=0.5/9,0.5
KPN322,SRR5386283,573.14056,Tetracycline,<=2,8.0
KPN323,SRR5386282,573.14057,Cefepime,>16,16.0
KPN323,SRR5386282,573.14057,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN324,SRR5386281,573.14058,Ampicillin/Sulbactam,>16/8,32.0
KPN324,SRR5386281,573.14058,Ceftriaxone,>32,64.0
KPN325,SRR5386280,573.14059,Aztreonam,>16,8.0
KPN325,SRR5386280,573.14059,Cefazolin,>16,16.0
KPN325,SRR5386280,573.14059,Ceftazidime,>16,8.0
KPN329,SRR5386277,573.14061,Imipenem,>8,16.0
KPN330,SRR5386276,573.14062,Cefuroxime sodium,>16,32.0
KPN330,SRR5386276,573.14062,Piperacillin/Tazobactam,>64/4,128.0
KPN331,SRR5386275,573.14063,Ampicillin,>16,32.0
KPN331,SRR5386275,573.14063,Levofloxacin,>4,8.0
KPN331,SRR5386275,573.14063,Meropenem,<=1,1.0
KPN332,SRR5386274,573.14064,Ciprofloxacin,>2,2.0
KPN333,SRR5386273,573.14065,Amikacin,<=8,8.0
KPN333,SRR5386273,573.14065,Cefoxitin,>16,16.0
KPN333,SRR5386273,573.14065,Imipenem,<=1,1.0
KPN335,SRR5386272,573.14066,Meropenem,4,8.0
KPN336,SRR5386271,573.14067,Nitrofurantoin,>64,128.0
KPN336,SRR5386271,573.14067,Tetracycline,>8,16.0
KPN338,SRR5386269,573.14069,Ampicillin/Sulbactam,>16/8,32.0
KPN338,SRR5386269,573.14069,Cefazolin,>16,32.0
KPN338,SRR5386269,573.14069,Ceftriaxone,>32,64.0
KPN338,SRR5386269,573.14069,Gentamicin,>8,16.0
KPN338,SRR5386269,573.14069,Tobramycin,8,8.0
KPN338,SRR5386269,573.14069,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN339,SRR5386268,573.14070,Aztreonam,>16,16.0
KPN339,SRR5386268,573.14070,Cefepime,4,8.0
KPN339,SRR5386268,573.14070,Cefoxitin,<=4,8.0
KPN340,SRR5386267,573.14071,Ceftazidime,>16,16.0
KPN340,SRR5386267,573.14071,Gentamicin,<=2,4.0
KPN342,SRR5386266,573.14072,Piperacillin/Tazobactam,8/4,16.0
KPN343,SRR5386265,573.14073,Ampicillin,>16,32.0
KPN343,SRR5386265,573.14073,Cefepime,<=1,4.0
KPN343,SRR5386265,573.14073,Cefuroxime sodium,>16,16.0
KPN343,SRR5386265,573.14073,Tobramycin,<=2,2.0
KPN347,SRR5386262,573.14075,Imipenem,<=1,1.0
KPN347,SRR5386262,573.14075,Meropenem,<=1,1.0
KPN348,SRR5386261,573.14076,Piperacillin/Tazobactam,>64/4,128.0
KPN350,SRR5386260,573.14077,Ciprofloxacin,>2,4.0
KPN350,SRR5386260,573.14077,Levofloxacin,>4,8.0
KPN353,SRR5386259,573.14078,Amikacin,<=8,8.0
KPN354,SRR5386258,573.14079,Cefoxitin,>16,16.0
KPN354,SRR5386258,573.14079,Tetracycline,4,8.0
KPN355,SRR5386257,573.14080,Cefazolin,>16,32.0
KPN355,SRR5386257,573.14080,Tobramycin,>8,8.0
KPN356,SRR5386256,573.14081,Ceftriaxone,>32,64.0
KPN357,SRR5386255,573.14082,Ampicillin/Sulbactam,>16/8,32.0
KPN357,SRR5386255,573.14082,Aztreonam,>16,16.0
KPN357,SRR5386255,573.14082,Cefepime,>16,16.0
KPN357,SRR5386255,573.14082,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN358,SRR5386254,573.14083,Ampicillin,>16,32.0
KPN358,SRR5386254,573.14083,Cefuroxime sodium,>16,32.0
KPN360,SRR5386252,573.14084,Ceftazidime,>16,32.0
KPN361,SRR5386251,573.14085,Meropenem,>8,16.0
KPN362,SRR5386250,573.14087,Gentamicin,>8,16.0
KPN362,SRR5386250,573.14087,Tetracycline,>8,16.0
KPN364,SRR5386248,573.14088,Ciprofloxacin,>2,4.0
KPN364,SRR5386248,573.14088,Imipenem,<=1,1.0
KPN364,SRR5386248,573.14088,Levofloxacin,>4,8.0
KPN364,SRR5386248,573.14088,Piperacillin/Tazobactam,>64/4,128.0
KPN367,SRR5386245,573.14090,Cefazolin,>16,32.0
KPN367,SRR5386245,573.14090,Cefoxitin,>16,32.0
KPN368,SRR5386243,573.14091,Ceftriaxone,>32,64.0
KPN369,SRR5386242,573.14092,Amikacin,<=8,8.0
KPN369,SRR5386242,573.14092,Ampicillin/Sulbactam,>16/8,32.0
KPN370,SRR5386241,573.14093,Ampicillin,>16,32.0
KPN370,SRR5386241,573.14093,Aztreonam,>16,32.0
KPN370,SRR5386241,573.14093,Cefuroxime sodium,>16,32.0
KPN371,SRR5386240,573.14094,Ceftazidime,>16,16.0
KPN371,SRR5386240,573.14094,Meropenem,<=1,1.0
KPN371,SRR5386240,573.14094,Tobramycin,8,8.0
KPN371,SRR5386240,573.14094,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN375,SRR5386236,573.14098,Amikacin,16,16.0
KPN375,SRR5386236,573.14098,Ciprofloxacin,>2,4.0
KPN375,SRR5386236,573.14098,Levofloxacin,>4,8.0
KPN377,SRR5386234,573.14100,Cefazolin,>16,32.0
KPN378,SRR5386233,573.14101,Cefepime,>16,8.0
KPN378,SRR5386233,573.14101,Ceftriaxone,>32,32.0
KPN378,SRR5386233,573.14101,Gentamicin,>8,8.0
KPN378,SRR5386233,573.14101,Nitrofurantoin,>64,128.0
KPN379,SRR5386232,573.14102,Ampicillin/Sulbactam,>16/8,32.0
KPN379,SRR5386232,573.14102,Piperacillin/Tazobactam,>64/4,64.0
KPN380,SRR5386231,573.14103,Ampicillin,>16,32.0
KPN380,SRR5386231,573.14103,Aztreonam,>16,16.0
KPN380,SRR5386231,573.14103,Cefuroxime sodium,>16,32.0
KPN380,SRR5386231,573.14103,Imipenem,<=1,1.0
KPN381,SRR5386230,573.14104,Amikacin,<=8,8.0
KPN381,SRR5386230,573.14104,Ciprofloxacin,2,2.0
KPN381,SRR5386230,573.14104,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN383,SRR5386228,573.14106,Ceftazidime,>16,32.0
KPN384,SRR5386227,573.14107,Gentamicin,<=2,4.0
KPN384,SRR5386227,573.14107,Trimethoprim/Sulfamethoxazole,2/38,4.0
KPN385,SRR5386226,573.14108,Meropenem,<=1,1.0
KPN385,SRR5386226,573.14108,Tobramycin,<=2,4.0
KPN386,SRR5386225,573.14109,Cefoxitin,>16,16.0
KPN387,SRR5386224,573.14110,Cefazolin,>16,32.0
KPN387,SRR5386224,573.14110,Tetracycline,>8,16.0
KPN388,SRR5386223,573.14111,Cefoxitin,8,16.0
KPN388,SRR5386223,573.14111,Ceftriaxone,>32,64.0
KPN388,SRR5386223,573.14111,Ciprofloxacin,>2,4.0
KPN388,SRR5386223,573.14111,Levofloxacin,>4,8.0
KPN388,SRR5386223,573.14111,Tetracycline,4,8.0
KPN389,SRR5386222,573.14112,Ampicillin/Sulbactam,>16/8,32.0
KPN390,SRR5386221,573.14113,Ampicillin,>16,32.0
KPN390,SRR5386221,573.14113,Cefuroxime sodium,>16,32.0
KPN390,SRR5386221,573.14113,Nitrofurantoin,>64,128.0
KPN390,SRR5386221,573.14113,Tetracycline,<=2,8.0
KPN392,SRR5386220,573.14114,Aztreonam,>16,32.0
KPN392,SRR5386220,573.14114,Tobramycin,>8,16.0
KPN393,SRR5386219,573.14115,Cefepime,>16,32.0
